forward_model,noise,delay,estimator,min_tip_mean,min_tip_std
OLD_single-step,none,0,K=0.0,0.5537567570805549,0.36435870031828027
OLD_single-step,none,0,K=1.0,0.7701150298118591,0.2692774844009171
OLD_single-step,none,0,learned,0.7707875490188598,0.2692014444035854
K4_multi-step,none,0,K=0.0,0.5301854319870472,0.3771375449964014
K4_multi-step,none,0,K=1.0,0.7701150268316269,0.26927748804344004
K4_multi-step,none,0,learned,0.7794374316930771,0.2565957035300821
K8_multi-step,none,0,K=0.0,0.49309516660869124,0.3982852905036543
K8_multi-step,none,0,K=1.0,0.7701150298118591,0.2692774844009171
K8_multi-step,none,0,learned,0.7744804650545121,0.2649500873128185
K8_closed-loop-oracle,none,0,K=0.0,0.49309516660869124,0.3982852905036543
K8_closed-loop-oracle,none,0,K=1.0,0.7701150298118591,0.2692774844009171
K8_closed-loop-oracle,none,0,learned,0.6661085493862628,0.3270210811329206
OLD_single-step,none,18,K=0.0,0.613343121111393,0.3288365705585892
OLD_single-step,none,18,K=1.0,0.5997685715556145,0.3506288396233685
OLD_single-step,none,18,learned,0.5677633538842202,0.3580355878096617
K4_multi-step,none,18,K=0.0,0.53096923828125,0.37414740075818886
K4_multi-step,none,18,K=1.0,0.6558268144726753,0.31201060808032427
K4_multi-step,none,18,learned,0.6599092721939087,0.3069841490307695
K8_multi-step,none,18,K=0.0,0.49683754295110705,0.3908302335770077
K8_multi-step,none,18,K=1.0,0.6964590221643447,0.2878764930002541
K8_multi-step,none,18,learned,0.7019145220518113,0.28712150957597976
K8_closed-loop-oracle,none,18,K=0.0,0.49683754295110705,0.3908302335770077
K8_closed-loop-oracle,none,18,K=1.0,0.6964590221643447,0.2878764930002541
K8_closed-loop-oracle,none,18,learned,0.4889399752020836,0.4026364447106784
OLD_single-step,high,0,K=0.0,0.5537567570805549,0.36435870031828027
OLD_single-step,high,0,K=1.0,0.7700958728790284,0.27102409656530724
OLD_single-step,high,0,learned,0.7678271561861039,0.27381863917682286
K4_multi-step,high,0,K=0.0,0.5301854319870472,0.3771375449964014
K4_multi-step,high,0,K=1.0,0.7700958728790284,0.27102409656530724
K4_multi-step,high,0,learned,0.7744296997785568,0.2640336006167759
K8_multi-step,high,0,K=0.0,0.49309516660869124,0.3982852905036543
K8_multi-step,high,0,K=1.0,0.7700958728790284,0.27102409656530724
K8_multi-step,high,0,learned,0.7741981476545334,0.2652570151227037
K8_closed-loop-oracle,high,0,K=0.0,0.49309516660869124,0.3982852905036543
K8_closed-loop-oracle,high,0,K=1.0,0.7700958728790284,0.27102409656530724
K8_closed-loop-oracle,high,0,learned,0.6633993692696094,0.32876875075080536
OLD_single-step,high,18,K=0.0,0.613343121111393,0.3288365705585892
OLD_single-step,high,18,K=1.0,0.5654884278774261,0.35828518575720786
OLD_single-step,high,18,learned,0.5827714629471302,0.34989288631839166
K4_multi-step,high,18,K=0.0,0.53096923828125,0.37414740075818886
K4_multi-step,high,18,K=1.0,0.6791770249605179,0.2886027686395892
K4_multi-step,high,18,learned,0.6586939424276352,0.30763059758075373
K8_multi-step,high,18,K=0.0,0.49683754295110705,0.3908302335770077
K8_multi-step,high,18,K=1.0,0.6908437997102738,0.28877935115543635
K8_multi-step,high,18,learned,0.7021697372198105,0.2868607184515204
K8_closed-loop-oracle,high,18,K=0.0,0.49683754295110705,0.3908302335770077
K8_closed-loop-oracle,high,18,K=1.0,0.6908437997102738,0.28877935115543635
K8_closed-loop-oracle,high,18,learned,0.49680183865129945,0.4009565158591455
OLD_single-step,xhigh,0,K=0.0,0.5537567570805549,0.36435870031828027
OLD_single-step,xhigh,0,K=1.0,0.761943981051445,0.27898818296401096
OLD_single-step,xhigh,0,learned,0.7568800300359726,0.2800666303781528
K4_multi-step,xhigh,0,K=0.0,0.5301854319870472,0.3771375449964014
K4_multi-step,xhigh,0,K=1.0,0.7619439899921417,0.2789881809026963
K4_multi-step,xhigh,0,learned,0.7610939830541611,0.2790498222028838
K8_multi-step,xhigh,0,K=0.0,0.49309516660869124,0.3982852905036543
K8_multi-step,xhigh,0,K=1.0,0.761943981051445,0.2789881910808034
K8_multi-step,xhigh,0,learned,0.7724797040224075,0.26799885799199513
K8_closed-loop-oracle,xhigh,0,K=0.0,0.49309516660869124,0.3982852905036543
K8_closed-loop-oracle,xhigh,0,K=1.0,0.761943981051445,0.2789881910808034
K8_closed-loop-oracle,xhigh,0,learned,0.6524281799793243,0.3306753265153002
OLD_single-step,xhigh,18,K=0.0,0.613343121111393,0.3288365705585892
OLD_single-step,xhigh,18,K=1.0,0.5755905605852604,0.35596159476015116
OLD_single-step,xhigh,18,learned,0.5679324597120285,0.359303310548805
K4_multi-step,xhigh,18,K=0.0,0.53096923828125,0.37414740075818886
K4_multi-step,xhigh,18,K=1.0,0.6528724908828736,0.31411188556626274
K4_multi-step,xhigh,18,learned,0.6654354751110076,0.3056318857292125
K8_multi-step,xhigh,18,K=0.0,0.49683754295110705,0.3908302335770077
K8_multi-step,xhigh,18,K=1.0,0.699810591340065,0.2883368909264814
K8_multi-step,xhigh,18,learned,0.7267445266246796,0.2800614906050736
K8_closed-loop-oracle,xhigh,18,K=0.0,0.49683754295110705,0.3908302335770077
K8_closed-loop-oracle,xhigh,18,K=1.0,0.699810591340065,0.2883368909264814
K8_closed-loop-oracle,xhigh,18,learned,0.48151840455830097,0.40527705451829904
